ticker,day
TSLA,2025-11-03
TSLA,2025-11-04
TSLA,2025-11-05
TSLA,2025-11-06
TSLA,2025-11-07
TSLA,2025-11-10
TSLA,2025-11-11
TSLA,2025-11-12
TSLA,2025-11-13
TSLA,2025-11-14
TSLA,2025-11-17
TSLA,2025-11-18
TSLA,2025-11-19
TSLA,2025-11-20
TSLA,2025-11-21
TSLA,2025-11-24
TSLA,2025-11-25
TSLA,2025-11-26
TSLA,2025-11-27
TSLA,2025-11-28
TSLA,2025-12-01
TSLA,2025-12-02
TSLA,2025-12-03
TSLA,2025-12-04
TSLA,2025-12-05
TSLA,2025-12-08
TSLA,2025-12-09
TSLA,2025-12-10
TSLA,2025-12-11
TSLA,2025-12-12
TSLA,2025-12-15
TSLA,2025-12-16
TSLA,2025-12-17
TSLA,2025-12-18
TSLA,2025-12-19
TSLA,2025-12-22
TSLA,2025-12-23
TSLA,2025-12-24
TSLA,2025-12-25
TSLA,2025-12-26
TSLA,2025-12-29
TSLA,2025-12-30
TSLA,2025-12-31
TSLA,2026-01-01
TSLA,2026-01-02
TSLA,2026-01-05
TSLA,2026-01-06
TSLA,2026-01-07
TSLA,2026-01-08
TSLA,2026-01-09
TSLA,2026-01-12
TSLA,2026-01-13
TSLA,2026-01-14
TSLA,2026-01-15
META,2025-10-15
META,2025-10-16
META,2025-10-17
META,2025-10-20
META,2025-10-21
META,2025-10-22
META,2025-10-23
META,2025-10-24
META,2025-10-27
META,2025-10-28
META,2025-10-29
META,2025-10-30
META,2025-10-31
META,2025-11-03
META,2025-11-04
META,2025-11-05
META,2025-11-06
META,2025-11-07
META,2025-11-10
META,2025-11-11
META,2025-11-12
META,2025-11-13
META,2025-11-14
META,2025-11-17
META,2025-11-18
META,2025-11-19
META,2025-11-20
META,2025-11-21
META,2025-11-24
META,2025-11-25
META,2025-11-26
META,2025-11-27
META,2025-11-28
META,2025-12-01
META,2025-12-02
META,2025-12-03
META,2025-12-04
META,2025-12-05
META,2025-12-08
META,2025-12-09
META,2025-12-10
META,2025-12-11
META,2025-12-12
META,2025-12-15
META,2025-12-16
META,2025-12-17
META,2025-12-18
META,2025-12-19
META,2025-12-22
META,2025-12-23
META,2025-12-24
META,2025-12-25
META,2025-12-26
META,2025-12-29
META,2025-12-30
META,2025-12-31
META,2026-01-01
META,2026-01-02
META,2026-01-05
META,2026-01-06
META,2026-01-07
META,2026-01-08
META,2026-01-09
META,2026-01-12
META,2026-01-13
META,2026-01-14
META,2026-01-15
AMD,2025-10-15
AMD,2025-10-16
AMD,2025-10-17
AMD,2025-10-20
AMD,2025-10-21
AMD,2025-10-22
AMD,2025-10-23
AMD,2025-10-24
AMD,2025-10-27
AMD,2025-10-28
AMD,2025-10-29
AMD,2025-10-30
AMD,2025-10-31
AMD,2025-11-03
AMD,2025-11-04
AMD,2025-11-05
AMD,2025-11-06
AMD,2025-11-07
AMD,2025-11-10
AMD,2025-11-11
AMD,2025-11-12
AMD,2025-11-13
AMD,2025-11-14
AMD,2025-11-17
AMD,2025-11-18
AMD,2025-11-19
AMD,2025-11-20
AMD,2025-11-21
AMD,2025-11-24
AMD,2025-11-25
AMD,2025-11-26
AMD,2025-11-27
AMD,2025-11-28
AMD,2025-12-01
AMD,2025-12-02
AMD,2025-12-03
AMD,2025-12-04
AMD,2025-12-05
AMD,2025-12-08
AMD,2025-12-09
AMD,2025-12-10
AMD,2025-12-11
AMD,2025-12-12
AMD,2025-12-15
AMD,2025-12-16
AMD,2025-12-17
AMD,2025-12-18
AMD,2025-12-19
AMD,2025-12-22
AMD,2025-12-23
AMD,2025-12-24
AMD,2025-12-25
AMD,2025-12-26
AMD,2025-12-29
AMD,2025-12-30
AMD,2025-12-31
AMD,2026-01-01
AMD,2026-01-02
AMD,2026-01-05
AMD,2026-01-06
AMD,2026-01-07
AMD,2026-01-08
AMD,2026-01-09
AMD,2026-01-12
AMD,2026-01-13
AMD,2026-01-14
AMD,2026-01-15
NFLX,2025-10-15
NFLX,2025-10-16
NFLX,2025-10-17
NFLX,2025-10-20
NFLX,2025-10-21
NFLX,2025-10-22
NFLX,2025-10-23
NFLX,2025-10-24
NFLX,2025-10-27
NFLX,2025-10-28
NFLX,2025-10-29
NFLX,2025-10-30
NFLX,2025-10-31
NFLX,2025-11-03
NFLX,2025-11-04
NFLX,2025-11-05
NFLX,2025-11-06
NFLX,2025-11-07
NFLX,2025-11-10
NFLX,2025-11-11
NFLX,2025-11-12
NFLX,2025-11-13
NFLX,2025-11-14
NFLX,2025-11-17
NFLX,2025-11-18
NFLX,2025-11-19
