event_id,ticker,announce_date,timing,surprise_pct,reaction_date,reaction_ret,reaction_dir,drift_1d,abn_drift_1d,label_1d,drift_3d,abn_drift_3d,label_3d,drift_5d,abn_drift_5d,label_5d,drift_10d,abn_drift_10d,label_10d,drift_20d,abn_drift_20d,label_20d
NVDA_2025-02-26,NVDA,2025-02-26,AMC,5.25,2025-02-27,-0.0848,-1,0.0397,0.0241,reversal,-0.0346,-0.0206,continuation,-0.0797,-0.0586,continuation,-0.0379,0.0195,continuation,-0.0725,-0.0447,continuation
NVDA_2025-05-28,NVDA,2025-05-28,AMC,8.02,2025-05-29,0.0325,1,-0.0292,-0.0281,reversal,0.0146,0.0043,continuation,0.0057,0.0007,unclear,0.0418,0.0186,continuation,0.1334,0.0882,continuation
NVDA_2025-08-27,NVDA,2025-08-27,AMC,4.1,2025-08-28,-0.0079,-1,-0.0332,-0.0273,continuation,-0.053,-0.045,continuation,-0.073,-0.0704,continuation,-0.013,-0.0261,continuation,-0.0109,-0.0336,continuation
NVDA_2025-11-19,NVDA,2025-11-19,AMC,3.46,2025-11-20,-0.0315,-1,-0.0097,-0.0197,unclear,-0.0156,-0.0501,continuation,-0.0202,-0.0674,continuation,0.0099,-0.041,unclear,0.002,-0.0441,unclear
NVDA_2026-02-25,NVDA,2026-02-25,AMC,5.32,2026-02-26,-0.0546,-1,-0.0416,-0.0368,continuation,-0.0262,-0.0132,continuation,-0.0084,0.0032,unclear,-0.0094,0.0243,unclear,-0.0738,-0.0122,continuation
PLTR_2024-08-05,PLTR,2024-08-05,AMC,10.55,2024-08-06,0.1038,1,-0.0102,-0.0035,reversal,0.1286,0.1079,continuation,0.1429,0.1048,continuation,0.2155,0.1455,continuation,0.1504,0.0953,continuation
PLTR_2024-11-04,PLTR,2024-11-04,AMC,10.06,2024-11-05,0.2347,1,0.0861,0.0612,continuation,0.142,0.1047,continuation,0.1705,0.1355,continuation,0.2318,0.2082,continuation,0.3661,0.3124,continuation
PLTR_2025-02-03,PLTR,2025-02-03,AMC,23.72,2025-02-04,0.2399,1,-0.0238,-0.0278,reversal,0.0676,0.0693,continuation,0.0847,0.0788,continuation,0.0793,0.0607,continuation,-0.1319,-0.1008,reversal
PLTR_2025-05-05,PLTR,2025-05-05,AMC,1.11,2025-05-06,-0.1205,-1,0.0149,0.0107,reversal,0.0775,0.0676,reversal,0.1767,0.1266,reversal,0.1537,0.0927,reversal,0.1943,0.1278,reversal
PLTR_2025-08-04,PLTR,2025-08-04,AMC,15.57,2025-08-05,0.0785,1,0.0362,0.0285,continuation,0.079,0.0643,continuation,0.0791,0.0556,continuation,-0.0896,-0.1084,reversal,-0.106,-0.1311,reversal
