event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
PLTR_20251124_143000,PLTR,2025-11-24 14:30:00+00:00,1,16,209.2623264110105,4.317592559619833,306.27483879914024,12.593128351418333,0.1081398349512304,2025-11-24 14:10:00+00:00,2025-11-24 14:30:00+00:00,2025-11-24 14:35:00+00:00,2025-11-24 15:30:00+00:00,0.0199516324062878,0.0064181199887687,continuation,0.6054527779451687,min_quota
QQQ_20251125_144000,QQQ,2025-11-25 14:40:00+00:00,-1,6,89.87843419226094,5.5833452982905225,111.49486692940204,8.849867304598,0.201992580059543,2025-11-25 14:20:00+00:00,2025-11-25 14:40:00+00:00,2025-11-25 14:45:00+00:00,2025-11-25 15:40:00+00:00,-0.0053675264648874,0.0046969469844602,reversal,0.8488849031258137,min_quota
QQQ_20251106_145000,QQQ,2025-11-06 14:50:00+00:00,-1,10,83.82312328411246,6.333417598876365,79.85688529910215,6.919141391628592,0.4073999872676572,2025-11-06 14:30:00+00:00,2025-11-06 14:50:00+00:00,2025-11-06 14:55:00+00:00,2025-11-06 15:50:00+00:00,-0.0035580313299954,-0.0084502035804302,continuation,0.8372749655301532,min_quota
QQQ_20260102_151000,QQQ,2026-01-02 15:10:00+00:00,-1,8,82.48344236317706,4.845000019130775,128.57398910238027,12.551326618330966,0.2330201747466652,2026-01-02 14:50:00+00:00,2026-01-02 15:10:00+00:00,2026-01-02 15:15:00+00:00,2026-01-02 16:10:00+00:00,-0.0054228887744592,-0.0085589010953452,continuation,0.8000409750308171,min_quota
QQQ_20251113_143500,QQQ,2025-11-13 14:35:00+00:00,-1,13,72.90652864026637,4.8095849481673225,83.5494914912899,5.639472005388403,0.2747931154319438,2025-11-13 14:15:00+00:00,2025-11-13 14:35:00+00:00,2025-11-13 14:40:00+00:00,2025-11-13 15:35:00+00:00,-0.0041308925967924,-0.0016229361529076,unclear,0.6668207158975522,high_strength_unclear
QQQ_20251212_155500,QQQ,2025-12-12 15:55:00+00:00,-1,3,84.9497727328341,4.938461445146669,94.64043599059627,7.273740990960172,0.1482552606473396,2025-12-12 15:35:00+00:00,2025-12-12 15:55:00+00:00,2025-12-12 16:00:00+00:00,2025-12-12 16:55:00+00:00,-0.0048757572812389,-0.0025556297104163,unclear,0.6529502747605336,high_strength_unclear
QQQ_20251119_144000,QQQ,2025-11-19 14:40:00+00:00,1,6,65.64668380854455,5.296658573225427,91.0151258094578,5.332046043005396,0.2121390497603902,2025-11-19 14:20:00+00:00,2025-11-19 14:40:00+00:00,2025-11-19 14:45:00+00:00,2025-11-19 15:40:00+00:00,0.0041486834621433,0.0068303735048145,continuation,0.6316041872979041,top_global
SPY_20251125_144500,SPY,2025-11-25 14:45:00+00:00,-1,2,67.89882098171107,5.475519594007964,277.8011822212118,10.407977981222906,0.1024048269043613,2025-11-25 14:25:00+00:00,2025-11-25 14:45:00+00:00,2025-11-25 14:50:00+00:00,2025-11-25 15:45:00+00:00,-0.0055631991386012,0.0074816530317611,reversal,0.6635717315878594,min_quota
SPY_20251029_183500,SPY,2025-10-29 18:35:00+00:00,-1,5,68.93120051515655,4.535456472960246,12.284038167301862,13.9596050526757,2.099845648639856,2025-10-29 18:15:00+00:00,2025-10-29 18:35:00+00:00,2025-10-29 18:40:00+00:00,2025-10-29 19:35:00+00:00,-0.0065402223675604,0.002706458927657,unclear,0.6299715864282274,min_quota_unclear_fill
SPY_20251114_143000,SPY,2025-11-14 14:30:00+00:00,-1,3,63.89294917194866,4.272145861316961,138.91230302437114,5.038523982064806,0.0547631686998287,2025-11-14 14:10:00+00:00,2025-11-14 14:30:00+00:00,2025-11-14 14:35:00+00:00,2025-11-14 15:30:00+00:00,-0.0029148824280669,0.0092825605400761,reversal,0.35532538491770627,min_quota
