event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
AMZN_20240730_200000,AMZN,2024-07-30 20:00:00+00:00,-1,5,404.617670590921,5.691279124207634,2.5710313373257425,18.85783288026856,18.31903326859181,2024-07-30 19:45:00+00:00,2024-07-30 20:00:00+00:00,2024-07-30 20:05:00+00:00,2024-07-30 21:00:00+00:00,-0.0345697980684811,-0.0011935887234284,unclear,0.80532542278964,high_strength_unclear
AMZN_20250501_195500,AMZN,2025-05-01 19:55:00+00:00,-1,11,626.14386334646,5.663481329144221,6.012337824486738,27.65725398941077,8.962460888248815,2025-05-01 19:40:00+00:00,2025-05-01 19:55:00+00:00,2025-05-01 20:00:00+00:00,2025-05-01 20:55:00+00:00,-0.0076581285938317,-0.041536070798325,continuation,0.8044622426000312,min_quota
AMZN_20250408_125500,AMZN,2025-04-08 12:55:00+00:00,1,29,254.3265629904301,5.186830368921593,353.0002603997136,8.157727064472954,0.8720299774361738,2025-04-08 12:40:00+00:00,2025-04-08 12:55:00+00:00,2025-04-08 13:00:00+00:00,2025-04-08 13:55:00+00:00,0.0063301412108422,-0.0038545653362493,reversal,0.8022771855465842,min_quota
AMZN_20260306_133500,AMZN,2026-03-06 13:35:00+00:00,-1,19,138.33528722156706,5.33206719480618,511.3168545081968,8.689398035820124,1.1968761508901893,2026-03-06 13:20:00+00:00,2026-03-06 13:35:00+00:00,2026-03-06 13:40:00+00:00,2026-03-06 14:35:00+00:00,-0.0043788891449642,0.0033333333333334,reversal,0.8000373191397383,min_quota
AMZN_20250304_140000,AMZN,2025-03-04 14:00:00+00:00,1,6,172.5000000000021,4.641283264155229,674.2388160562239,10.888559289799211,0.745716353933174,2025-03-04 13:45:00+00:00,2025-03-04 14:00:00+00:00,2025-03-04 14:05:00+00:00,2025-03-04 15:00:00+00:00,0.0036772102435935,-0.0180946001851816,reversal,0.7999629862802287,min_quota
AMZN_20260130_142500,AMZN,2026-01-30 14:25:00+00:00,1,9,120.100607839031,5.127906384927421,830.8189924208649,9.256022443841903,0.9857186154314084,2026-01-30 14:10:00+00:00,2026-01-30 14:25:00+00:00,2026-01-30 14:30:00+00:00,2026-01-30 15:25:00+00:00,0.0031355825912453,0.0098774693673417,continuation,0.7975870897813186,min_quota
AMZN_20250430_195000,AMZN,2025-04-30 19:50:00+00:00,1,11,261.5881355004679,5.488442376407406,12.726991711314362,12.893806416913977,11.447823045219968,2025-04-30 19:35:00+00:00,2025-04-30 19:50:00+00:00,2025-04-30 19:55:00+00:00,2025-04-30 20:50:00+00:00,0.0106186133391934,0.0315146059206492,continuation,0.7850695254178648,min_quota
AMZN_20241129_142500,AMZN,2024-11-29 14:25:00+00:00,-1,3,100.43330102365913,5.758425379676111,916.315292811546,21.60648385942764,0.910637015473613,2024-11-29 14:10:00+00:00,2024-11-29 14:25:00+00:00,2024-11-29 14:30:00+00:00,2024-11-29 15:25:00+00:00,-0.006132303235152,-0.0004372540445999,unclear,0.7765574761204729,high_strength_unclear
AMZN_20241007_090000,AMZN,2024-10-07 09:00:00+00:00,-1,5,155.86546349467324,5.718499984579198,22.7235482721767,30.26420813824907,4.308159374757522,2024-10-07 08:40:00+00:00,2024-10-07 09:00:00+00:00,2024-10-07 09:05:00+00:00,2024-10-07 10:00:00+00:00,-0.0118457893603273,-0.001144289450741,unclear,0.7748270146762237,high_strength_unclear
AMZN_20241209_142500,AMZN,2024-12-09 14:25:00+00:00,1,15,131.157470758716,5.5849082553489735,554.7242906017308,15.921532497685146,0.6179445023546639,2024-12-09 14:10:00+00:00,2024-12-09 14:25:00+00:00,2024-12-09 14:30:00+00:00,2024-12-09 15:25:00+00:00,0.0048661800486617,0.0029055690072639,unclear,0.7722584999011919,high_strength_unclear
AMZN_20260430_132000,AMZN,2026-04-30 13:20:00+00:00,1,24,510.7413243149739,6.009297944217102,156.27550565334872,8.294640570890694,0.2283349821112859,2026-04-30 13:05:00+00:00,2026-04-30 13:20:00+00:00,2026-04-30 13:25:00+00:00,2026-04-30 14:20:00+00:00,0.0044437915457782,-0.0526691042047531,reversal,0.7675197349340988,min_quota
AMZN_20260304_143000,AMZN,2026-03-04 14:30:00+00:00,1,12,177.87778304121372,5.287522973260248,491.852712374235,9.006870658057126,0.0745657036884918,2026-03-04 14:15:00+00:00,2026-03-04 14:30:00+00:00,2026-03-04 14:35:00+00:00,2026-03-04 15:30:00+00:00,0.0095791831482627,0.0220449395770392,continuation,0.7636602841463518,min_quota
AMZN_20260102_142500,AMZN,2026-01-02 14:25:00+00:00,-1,16,176.15057254420032,4.026886557809467,1101.302242949145,39.17254230822226,0.423916709141291,2026-01-02 14:10:00+00:00,2026-01-02 14:25:00+00:00,2026-01-02 14:30:00+00:00,2026-01-02 15:25:00+00:00,-0.0039224137931034,-0.015426889956294,continuation,0.7608495879718955,top_global
AMZN_20260327_133000,AMZN,2026-03-27 13:30:00+00:00,-1,8,151.09754897134843,5.590204082969775,567.5204064907392,11.617515226075836,0.0530819790806509,2026-03-27 13:15:00+00:00,2026-03-27 13:30:00+00:00,2026-03-27 13:35:00+00:00,2026-03-27 14:30:00+00:00,-0.0099471104857101,-0.0123015095079396,continuation,0.7605155435493278,top_global
AMZN_20250519_133000,AMZN,2025-05-19 13:30:00+00:00,1,9,161.17034465658708,6.578933701971618,299.9329264110829,8.641889212653949,0.1085296171910946,2025-05-19 13:15:00+00:00,2025-05-19 13:30:00+00:00,2025-05-19 13:35:00+00:00,2025-05-19 14:30:00+00:00,0.0051933207434649,0.0150050676093245,continuation,0.7597260387017648,top_global
AMZN_20260323_110500,AMZN,2026-03-23 11:05:00+00:00,1,9,395.8199832405018,5.140497936649522,33.36394271272115,27.67393640238984,1.7594850707965402,2026-03-23 10:50:00+00:00,2026-03-23 11:05:00+00:00,2026-03-23 11:10:00+00:00,2026-03-23 12:05:00+00:00,0.0300212671249813,-0.001488523960434,unclear,0.7564291743880198,high_strength_unclear
AMZN_20240801_200000,AMZN,2024-08-01 20:00:00+00:00,-1,13,489.05939187269263,5.043259807131169,4.148465423622149,29.850710795222707,13.850049479458187,2024-08-01 19:45:00+00:00,2024-08-01 20:00:00+00:00,2024-08-01 20:05:00+00:00,2024-08-01 21:00:00+00:00,-0.0466256671452955,-0.0053986928104574,continuation,0.7465885698036381,top_global
AMZN_20250805_133000,AMZN,2025-08-05 13:30:00+00:00,1,4,131.20150482012204,7.024514804374802,537.631396083386,21.721592033535824,0.0471452701235226,2025-08-05 13:15:00+00:00,2025-08-05 13:30:00+00:00,2025-08-05 13:35:00+00:00,2025-08-05 14:30:00+00:00,0.0084826167681468,-0.0031453134829103,reversal,0.742810583476611,top_global
AMZN_20250328_131000,AMZN,2025-03-28 13:10:00+00:00,1,14,114.76818848273452,4.939848222759556,989.1181740614336,18.25851750419781,0.5283597714531049,2025-03-28 12:55:00+00:00,2025-03-28 13:10:00+00:00,2025-03-28 13:15:00+00:00,2025-03-28 14:10:00+00:00,0.0035158211953791,-0.0212712712712712,reversal,0.7412289479096819,top_global
AMZN_20260106_142500,AMZN,2026-01-06 14:25:00+00:00,-1,14,119.34510986643777,5.170984620937257,1193.7298288508557,29.246878558422896,0.1737167343213537,2026-01-06 14:10:00+00:00,2026-01-06 14:25:00+00:00,2026-01-06 14:30:00+00:00,2026-01-06 15:25:00+00:00,-0.0032209576980889,0.0225333907798364,reversal,0.7382076716109887,top_global
AMZN_20250409_171500,AMZN,2025-04-09 17:15:00+00:00,1,5,540.1790905919279,4.999375526526568,7.417550370876676,6.189833761546864,1.5834099311872645,2025-04-09 17:00:00+00:00,2025-04-09 17:15:00+00:00,2025-04-09 17:20:00+00:00,2025-04-09 18:15:00+00:00,0.0196802677901539,0.0560335069051391,continuation,0.738000802300669,top_global
COIN_20250813_131000,COIN,2025-08-13 13:10:00+00:00,1,30,366.6839678808032,7.550681206970045,405.5100685992476,30.35107687845508,1.200139987522289,2025-08-13 12:55:00+00:00,2025-08-13 13:10:00+00:00,2025-08-13 13:15:00+00:00,2025-08-13 14:10:00+00:00,0.0049301742405287,0.0188196923350736,continuation,0.9809973441602053,min_quota
COIN_20250528_132500,COIN,2025-05-28 13:25:00+00:00,-1,13,383.9115368142343,6.22508346331629,654.6314797360981,81.22274218550459,0.9596947278073104,2025-05-28 13:10:00+00:00,2025-05-28 13:25:00+00:00,2025-05-28 13:30:00+00:00,2025-05-28 14:25:00+00:00,-0.0033384598071944,-0.0346368084305607,continuation,0.9580143063170161,min_quota
COIN_20240904_130500,COIN,2024-09-04 13:05:00+00:00,-1,29,326.9439309919897,6.740824249600009,505.8400743840074,27.37249765194282,1.416758533341952,2024-09-04 12:50:00+00:00,2024-09-04 13:05:00+00:00,2024-09-04 13:10:00+00:00,2024-09-04 14:05:00+00:00,-0.0050972370449424,-0.0099540942417861,continuation,0.9563205460578597,min_quota
COIN_20250618_145500,COIN,2025-06-18 14:55:00+00:00,-1,28,409.3702887626138,6.621087681913333,378.7684590061138,21.76657032678583,0.8086125116059003,2025-06-18 14:40:00+00:00,2025-06-18 14:55:00+00:00,2025-06-18 15:00:00+00:00,2025-06-18 15:55:00+00:00,-0.0033080365829926,0.0869972666926981,reversal,0.941932742870677,min_quota
COIN_20251010_133000,COIN,2025-10-10 13:30:00+00:00,1,32,348.34277483067444,6.525352185069435,645.6014525646846,45.18205593347184,0.9953961827469672,2025-10-10 13:15:00+00:00,2025-10-10 13:30:00+00:00,2025-10-10 13:35:00+00:00,2025-10-10 14:30:00+00:00,0.0089974293059125,-0.0102165605095541,reversal,0.9402494039547407,min_quota
COIN_20250509_124500,COIN,2025-05-09 12:45:00+00:00,1,30,443.7256178920879,6.504038257408381,251.26744030945716,19.78054083609992,1.9381265203278115,2025-05-09 12:30:00+00:00,2025-05-09 12:45:00+00:00,2025-05-09 12:50:00+00:00,2025-05-09 13:45:00+00:00,0.0079736181522862,0.0422628058010645,continuation,0.9321962536578645,min_quota
COIN_20241227_134000,COIN,2024-12-27 13:40:00+00:00,-1,18,296.6491642544944,6.017443349749041,375.8645569620253,46.862567799887046,2.631623246290775,2024-12-27 13:25:00+00:00,2024-12-27 13:40:00+00:00,2024-12-27 13:45:00+00:00,2024-12-27 14:40:00+00:00,-0.0035712646851233,-0.0273548976608187,continuation,0.9250127512715265,min_quota
COIN_20260123_142500,COIN,2026-01-23 14:25:00+00:00,-1,4,294.3208511814266,6.839159938688538,647.6606942889138,47.0624665440476,1.4664529950593836,2026-01-23 14:10:00+00:00,2026-01-23 14:25:00+00:00,2026-01-23 14:30:00+00:00,2026-01-23 15:25:00+00:00,-0.0033163036658598,-0.025,continuation,0.9226065816343223,min_quota
COIN_20251201_140000,COIN,2025-12-01 14:00:00+00:00,1,33,352.20138203356345,6.069641769848511,249.81253779479945,12.691570123627187,1.4329084591365977,2025-12-01 13:45:00+00:00,2025-12-01 14:00:00+00:00,2025-12-01 14:05:00+00:00,2025-12-01 15:00:00+00:00,0.0031837360951283,0.0096929606546094,continuation,0.9136564012635706,min_quota
COIN_20260429_132500,COIN,2026-04-29 13:25:00+00:00,-1,26,533.9265850945441,6.015288111595759,588.224245115453,21.530465348881165,0.5100062962568386,2026-04-29 13:10:00+00:00,2026-04-29 13:25:00+00:00,2026-04-29 13:30:00+00:00,2026-04-29 14:25:00+00:00,-0.0129171719301944,-0.0417156286721503,continuation,0.9101483613707029,min_quota
COIN_20241204_143000,COIN,2024-12-04 14:30:00+00:00,1,26,398.1666399101047,7.136741092019206,348.81744421906694,38.28427466215543,0.4763273591001131,2024-12-04 14:15:00+00:00,2024-12-04 14:30:00+00:00,2024-12-04 14:35:00+00:00,2024-12-04 15:30:00+00:00,0.0163416663999231,0.0058255460445526,continuation,0.9032901802599504,min_quota
COIN_20251002_131500,COIN,2025-10-02 13:15:00+00:00,-1,31,288.67871576111924,6.486218448903645,319.8738574040219,23.885643478141983,1.4429343371958347,2025-10-02 13:00:00+00:00,2025-10-02 13:15:00+00:00,2025-10-02 13:20:00+00:00,2025-10-02 14:15:00+00:00,-0.004066742081448,0.0259624831753568,reversal,0.8943559555141687,min_quota
COIN_20250624_132500,COIN,2025-06-24 13:25:00+00:00,1,29,425.4046224573393,6.109843854234163,212.74528478057888,13.730840813352264,1.1282427105883923,2025-06-24 13:10:00+00:00,2025-06-24 13:25:00+00:00,2025-06-24 13:30:00+00:00,2025-06-24 14:25:00+00:00,0.0088538158021365,0.0541034691087156,continuation,0.8826683797392911,min_quota
